name_launch,date_utc,success,payloads,rocket,upcoming,launchpad,name_payload,mass_kg,type,orbit,customers
FalconSat,2006-03-24 22:30:00+00:00,False,5eb0e4b5b6c3bb0006eeb1e1,5e9d0d95eda69955f709d1eb,False,5e9e4502f5090995de566f86,FalconSAT-2,20.0,Satellite,LEO,DARPA
DemoSat,2007-03-21 01:10:00+00:00,False,5eb0e4b6b6c3bb0006eeb1e2,5e9d0d95eda69955f709d1eb,False,5e9e4502f5090995de566f86,DemoSAT,4701.5,Satellite,LEO,DARPA
Trailblazer,2008-08-03 03:34:00+00:00,False,5eb0e4b6b6c3bb0006eeb1e3,5e9d0d95eda69955f709d1eb,False,5e9e4502f5090995de566f86,Trailblazer,4701.5,Satellite,LEO,NASA
Trailblazer,2008-08-03 03:34:00+00:00,False,5eb0e4b6b6c3bb0006eeb1e4,5e9d0d95eda69955f709d1eb,False,5e9e4502f5090995de566f86,PRESat,4701.5,Satellite,LEO,ORS
RatSat,2008-09-28 23:15:00+00:00,True,5eb0e4b7b6c3bb0006eeb1e5,5e9d0d95eda69955f709d1eb,False,5e9e4502f5090995de566f86,RatSat,165.0,Satellite,LEO,SpaceX
RazakSat,2009-07-13 03:35:00+00:00,True,5eb0e4b7b6c3bb0006eeb1e6,5e9d0d95eda69955f709d1eb,False,5e9e4502f5090995de566f86,RazakSAT,200.0,Satellite,LEO,ATSB
Falcon 9 Test Flight,2010-06-04 18:45:00+00:00,True,5eb0e4b7b6c3bb0006eeb1e7,5e9d0d95eda69973a809d1ec,False,5e9e4501f509094ba4566f84,Dragon Qualification Unit,4701.5,Dragon Boilerplate,LEO,SpaceX
COTS 1,2010-12-08 15:43:00+00:00,True,5eb0e4b9b6c3bb0006eeb1e8,5e9d0d95eda69973a809d1ec,False,5e9e4501f509094ba4566f84,COTS Demo Flight 1,4701.5,Dragon 1.0,LEO,NASA(COTS)
COTS 1,2010-12-08 15:43:00+00:00,True,5eb0e4b9b6c3bb0006eeb1e9,5e9d0d95eda69973a809d1ec,False,5e9e4501f509094ba4566f84,Cubesats,4701.5,Satellite,LEO,NRO
COTS 2,2012-05-22 07:44:00+00:00,True,5eb0e4bab6c3bb0006eeb1ea,5e9d0d95eda69973a809d1ec,False,5e9e4501f509094ba4566f84,COTS Demo Flight 2,525.0,Dragon 1.0,LEO,NASA(COTS)
CRS-1,2012-10-08 00:35:00+00:00,True,5eb0e4bab6c3bb0006eeb1eb,5e9d0d95eda69973a809d1ec,False,5e9e4501f509094ba4566f84,CRS-1,400.0,Dragon 1.0,ISS,NASA (CRS)
CRS-1,2012-10-08 00:35:00+00:00,True,5eb0e4bab6c3bb0006eeb1ec,5e9d0d95eda69973a809d1ec,False,5e9e4501f509094ba4566f84,Orbcomm-OG2,400.0,Dragon 1.0,LEO,Orbcomm
CRS-2,2013-03-01 19:10:00+00:00,True,5eb0e4bbb6c3bb0006eeb1ed,5e9d0d95eda69973a809d1ec,False,5e9e4501f509094ba4566f84,CRS-2,677.0,Dragon 1.0,ISS,NASA (CRS)
CASSIOPE,2013-09-29 16:00:00+00:00,True,5eb0e4bbb6c3bb0006eeb1ee,5e9d0d95eda69973a809d1ec,False,5e9e4502f509092b78566f87,CASSIOPE,500.0,Satellite,PO,MDA
SES-8,2013-12-03 22:41:00+00:00,True,5eb0e4bbb6c3bb0006eeb1ef,5e9d0d95eda69973a809d1ec,False,5e9e4501f509094ba4566f84,SES-8,3170.0,Satellite,GTO,SES
Thaicom 6,2014-01-06 18:06:00+00:00,True,5eb0e4bbb6c3bb0006eeb1f0,5e9d0d95eda69973a809d1ec,False,5e9e4501f509094ba4566f84,Thaicom 6,3325.0,Satellite,GTO,Thaicom
CRS-3,2014-04-18 19:25:00+00:00,True,5eb0e4bbb6c3bb0006eeb1f1,5e9d0d95eda69973a809d1ec,False,5e9e4501f509094ba4566f84,CRS-3,2296.0,Dragon 1.1,ISS,NASA (CRS)
OG-2 Mission 1,2014-07-14 15:15:00+00:00,True,5eb0e4bcb6c3bb0006eeb1f2,5e9d0d95eda69973a809d1ec,False,5e9e4501f509094ba4566f84,Orbcomm-OG2-M1,1316.0,Satellite,LEO,Orbcomm
AsiaSat 8,2014-08-05 08:00:00+00:00,True,5eb0e4bcb6c3bb0006eeb1f3,5e9d0d95eda69973a809d1ec,False,5e9e4501f509094ba4566f84,AsiaSat 8,4535.0,Satellite,GTO,AsiaSat
AsiaSat 6,2014-09-07 05:00:00+00:00,True,5eb0e4bcb6c3bb0006eeb1f4,5e9d0d95eda69973a809d1ec,False,5e9e4501f509094ba4566f84,AsiaSat 6,4428.0,Satellite,GTO,AsiaSat
